Tweet id,Tweet permalink,Tweet text,Content,Type,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1091013811149000704,https://twitter.com/hitRECordJoe/status/1091013811149000704,"So I’ve been working on something for years, along with everyone here @hitRECord. No joke—YEARS! Today’s the first day I’m talking about it... https://t.co/F0BYFupaor https://t.co/OeCMkKhUFx",HR Status,HR Status,2019-01-31 16:42 +0000,240420,6557,0.02727310539889,271,106,1651,324,282,0,305,8,0,0,8,0,0,40796,3602,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090840162081239041,https://twitter.com/hitRECordJoe/status/1090840162081239041,This made me happy. Hope it makes you feel the same way. &lt;3 https://t.co/wlE6svNlbD,Retweet,Retweet,2019-01-31 05:12 +0000,913765,17421,0.01906507690708,2545,178,12329,997,19,0,1313,35,0,0,5,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090771246739087361,https://twitter.com/hitRECordJoe/status/1090771246739087361,"Heard that listening to music improves the immune system. It's also known to decrease anxiety.

So... listen to more music. :)",Culture,Music,2019-01-31 00:38 +0000,230428,5165,0.02241481070009,735,142,3702,384,0,0,199,2,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090708478837080069,https://twitter.com/hitRECordJoe/status/1090708478837080069,Didn't know (until now) sweat could tell you so much... https://t.co/iE2gXjv1wY,Culture,Science,2019-01-30 20:29 +0000,76494,638,0.00834052343974691,7,9,103,51,422,0,45,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090678776080478208,https://twitter.com/hitRECordJoe/status/1090678776080478208,@RespectfulBlaze Nah,Response,Response,2019-01-30 18:30 +0000,3869,103,0.02662186611528,2,2,56,18,0,0,25,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090678362551377921,https://twitter.com/hitRECordJoe/status/1090678362551377921,@jillianmaryro Never too late,Response,Response,2019-01-30 18:29 +0000,484,38,0.07851239669421,0,0,7,5,0,0,26,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090641299152072704,https://twitter.com/hitRECordJoe/status/1090641299152072704,"The Matrix Reloaded and The Matrix Revolutions are two of the greatest sequels ever made.

(Don't @ me)",Culture,Movie,2019-01-30 16:02 +0000,398660,5994,0.01503536848442,389,537,3767,759,0,0,538,2,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090624828048986112,https://twitter.com/hitRECordJoe/status/1090624828048986112,"New day. 

New chance to do that thing you’ve always wanted to try. 

New opportunity to take that first step toward what you’ve always wanted to become...",Motivation,Motivation,2019-01-30 14:56 +0000,147939,1997,0.01349880694070,317,45,1351,153,0,0,129,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090508475447164928,https://twitter.com/hitRECordJoe/status/1090508475447164928,@rejectedjokes Number 13: https://t.co/WKVODnOgcf,Response,Response,2019-01-30 07:14 +0000,6970,354,0.05078909612626,2,2,43,3,282,0,22,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1090485346360385536,https://twitter.com/hitRECordJoe/status/1090485346360385536,👀 https://t.co/fX2aY4BZ8w,Retweet,Retweet,2019-01-30 05:42 +0000,248718,1260,0.00506597833691168,84,29,910,109,3,0,112,6,0,0,0,0,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
